Year,Company,Event_Type,Amount_USD,Notes,Source
2021,Teledyne,Acquisition,"8,000,000,000",Acquired FLIR Systems to expand infrared & SWIR portfolio,LR - SWIR Imaging Optica Indust…
2021,Trieye,Investment,"74,000,000",Series-B funding for SWIR automotive sensors,LR - SWIR Imaging Optica Indust…
2022,Emberion,Investment,"6,000,000",Funding to scale graphene-based SWIR sensors,LR - SWIR Imaging Optica Indust…
2022,SWIR Vision Systems,Partnership,,Collaboration with machine-vision integrators,LR - SWIR Imaging Optica Indust…
2023,Sony,Partnership,,Joint development of quantum-dot SWIR sensors,LR - SWIR Imaging Optica Indust…
