Company,Segment,Market_Share_pct,Source
SCD,Area Imagers,23,LR - SWIR Imaging Optica Indust…
Sensors Unlimited,Area Imagers,20,LR - SWIR Imaging Optica Indust…
Sony,Area Imagers,15,LR - SWIR Imaging Optica Indust…
Hamamatsu,Area Imagers,12,LR - SWIR Imaging Optica Indust…
Xenics,Area Imagers,10,LR - SWIR Imaging Optica Indust…
Raptor Photonics,Area Imagers,8,LR - SWIR Imaging Optica Indust…
Others,Area Imagers,12,LR - SWIR Imaging Optica Indust…
